date,Community name,COMM_CODE,Number of taxable accounts,Median assessed value
2016,Forest Lawn,FLN,"1,941","311,000"
2016,Glamorgan,GLA,"2,348","435,000"
2016,Glenbrook,GBK,"2,332","415,000"
2016,Glendale,GDL,982,"571,000"
2016,Greenview,GRV,749,"225,000"
2016,Greenwood/Greenbriar,GRE,499,"42,000"
2016,Hamptons,HAM,"2,475","678,000"
2016,Harvest Hills,HAR,"2,655","432,000"
2016,Hawkwood,HAW,"3,499","494,000"
2016,Haysboro,HAY,"3,339","402,000"
2016,Hidden Valley,HID,"3,849","427,000"
2016,Highland Park,HPK,"1,314","484,000"
2016,Highwood,HIW,803,"468,000"
2016,Hillhurst,HIL,"2,467","624,000"
2016,Hounsfield Heights/Briar Hill,HOU,"1,263","638,000"
2016,Huntington Hills,HUN,"4,559","386,000"
2016,Inglewood,ING,"2,317","425,000"
2016,Kelvin Grove,KEL,577,"786,000"
2016,Killarney/Glengarry,KIL,"3,155","562,000"
2016,Kincora,KCA,"2,231","525,000"
2016,Kingsland,KIN,"1,402","442,000"
2016,Lake Bonavista,LKB,"5,122","575,000"
2016,Lakeview,LKV,"1,987","583,000"
2016,Legacy,LEG,859,"431,000"
2016,Lincoln Park,LPK,"1,493","267,000"
2016,Macewan,MAC,"1,693","417,000"
2016,Mahogany,MAH,"2,790","532,000"
2016,Manchester,MAN,189,"175,000"
2016,Maple Ridge,MPL,806,"505,000"
2016,Marlborough,MRL,"2,570","351,000"
2016,Marlborough Park,MPK,"2,904","347,000"
2016,Martindale,MRT,"3,760","349,000"
2016,Mayfair,MAF,156,"1,150,000"
2016,Mayland Heights,MAL,"2,024","440,000"
2016,Mckenzie Lake,MCK,"4,583","494,000"
2016,Mckenzie Towne,MCT,"8,541","366,000"
2016,Meadowlark Park,MEA,277,"628,000"
2016,Midnapore,MID,"2,528","387,000"
2016,Millrise,MLR,"3,275","383,000"
2016,Mission,MIS,"2,859","331,000"
2016,Monterey Park,MOR,"3,224","385,000"
2016,Montgomery,MON,"1,713","454,000"
2016,Mount Pleasant,MOP,"2,276","582,000"
2016,Lower Mount Royal,LMR,"1,655","313,000"
2016,New Brighton,NEB,"4,152","451,000"
2016,Nolan Hill,NOL,"1,339","495,000"
2016,North Glenmore Park,NGM,891,"630,000"
2016,North Haven,NHV,822,"480,000"
2016,North Haven Upper,NHU,245,"510,000"
2016,Oakridge,OAK,"2,256","502,000"
2016,Ogden,OGD,"2,888","344,000"
2016,Palliser,PAL,"1,408","485,000"
2016,Panorama Hills,PAN,"9,097","519,000"
2016,Parkdale,PKD,"1,017","620,000"
2016,Parkhill/Stanley Park,PKH,715,"660,000"
2016,Parkland,PKL,"1,545","563,000"
2016,Patterson,PAT,"2,074","410,000"
2016,Penbrooke Meadows,PEN,"2,853","308,000"
2016,Pineridge,PIN,"3,160","329,000"
2016,Point Mckay,POI,848,"426,000"
2016,Pump Hill,PUM,434,"942,000"
2016,Queensland,QLD,"1,824","366,000"
2016,Ramsay,RAM,813,"456,000"
2016,Ranchlands,RAN,"2,762","354,000"
2016,Red Carpet/Mountview Mobile Park,RED,"1,054","58,000"
2016,Renfrew,REN,"3,161","447,000"
2016,Richmond,RIC,"1,957","637,000"
2016,Rideau Park,RID,372,"399,000"
2016,Riverbend,RIV,"3,432","421,000"
2016,Rocky Ridge,ROC,"3,908","472,000"
2016,Rosedale,RDL,582,"923,000"
2016,Rosemont,RMT,437,"609,000"
2016,Rosscarrock,RCK,841,"544,000"
2016,Roxboro,ROX,159,"1,270,000"
2016,Royal Oak,ROY,"5,117","515,000"
2016,Rundle,RUN,"3,045","367,000"
2016,Rutland Park,RUT,449,"565,000"
2016,Saddle Ridge,SAD,"5,061","408,000"
2016,Sage Hill,SGH,"2,227","461,000"
2016,Sandstone Valley,SAN,"2,109","421,000"
2016,Scarboro,SCA,330,"963,000"
2016,Scarboro/Sunalta West,SSW,161,"832,000"
2016,Scenic Acres,SCE,"2,905","528,000"
2016,Shaganappi,SHG,632,"588,000"
2016,Shawnee Slopes,SHS,"1,021","535,000"
2016,Shawnessy,SHN,"3,604","404,000"
2016,Sherwood,SHW,"1,440","574,000"
2016,Signal Hill,SIG,"6,088","575,000"
2016,Silver Springs,SIL,"3,468","476,000"
2016,Silverado,SVO,"2,501","442,000"
2016,Skyview Ranch,SKR,"3,527","387,000"
2016,Somerset,SOM,"3,323","413,000"
2016,South Calgary,SOC,"2,197","517,000"
2016,Southview,SOV,609,"361,000"
2016,Southwood,SOW,"2,195","400,000"
2016,Springbank Hill,SPH,"3,771","696,000"
2016,Spruce Cliff,SPR,"2,856","409,000"
2016,St. Andrews Heights,STA,536,"739,000"
2016,Strathcona Park,STR,"2,376","633,000"
2016,Sunalta,SNA,"1,289","253,000"
2016,Sundance,SDC,"3,208","475,000"
2016,Sunnyside,SSD,"2,002","401,000"
2016,Taradale,TAR,"4,543","372,000"
2016,Temple,TEM,"3,405","353,000"
2016,Thorncliffe,THO,"2,913","402,000"
2016,Tuscany,TUS,"6,978","517,000"
2016,Tuxedo Park,TUX,"1,926","464,000"
2016,University Heights,UNI,506,"774,000"
2016,Upper Mount Royal,UMR,912,"1,620,000"
2016,Valley Ridge,VAL,"2,110","581,000"
2016,Varsity,VAR,"5,464","511,000"
2016,Vista Heights,VIS,637,"366,000"
2016,Walden,WAL,"1,253","434,000"
2016,West Hillhurst,WHL,"2,468","676,000"
2016,West Springs,WSP,"3,258","648,000"
2016,West Springs,WSP,"3,415","644,000"
2016,Westgate,WGT,"1,152","516,000"
2016,Whitehorn,WHI,"3,490","357,000"
2016,Whitehorn,WHI,"3,492","357,000"
2016,Wildwood,WLD,"1,037","644,000"
2016,Wildwood,WLD,"1,037","644,000"
2016,Willow Park,WIL,"2,003","498,000"
2016,Willow Park,WIL,"2,008","498,000"
2016,Windsor Park,WND,"1,758","255,000"
2016,Windsor Park,WND,"1,785","257,000"
2016,Winston Heights/Mountview,WIN,"1,472","492,000"
2016,Winston Heights/Mountview,WIN,"1,496","493,000"
2016,Woodbine,WBN,"3,337","450,000"
2016,Woodlands,WOO,"2,066","450,000"
2016,Woodlands,WOO,"2,067","450,000"
2017,Abbeydale,ABB,"1,804","305,000"
2017,Acadia,ACA,"3,854","385,000"
2017,Albert Park/Radisson Heights,ALB,"1,918","318,000"
2017,Altadore,ALT,"2,855","738,000"
2017,Alyth/Bonnybrook,AYB,3,"104,000"
2017,Applewood Park,APP,"1,795","362,000"
2017,Arbour Lake,ARB,"4,332","449,000"
2017,Aspen Woods,ASP,"3,371","798,000"
2017,Auburn Bay,AUB,"5,755","463,000"
2017,Banff Trail,BNF,"1,248","580,000"
2017,Bankview,BNK,"2,249","265,000"
2017,Bayview,BYV,248,"987,000"
2017,Beddington Heights,BED,"4,071","346,000"
2017,Belaire,BEL,158,"1,640,000"
2017,Beltline,BLN,"17,776","306,000"
2017,Bonavista Downs,BDO,368,"407,000"
2017,Bowness,BOW,"3,786","354,000"
2017,Braeside,BRA,"2,536","373,000"
2017,Brentwood,BRE,"3,410","495,000"
2017,Bridgeland/Riverside,BRD,"3,245","401,000"
2017,Bridlewood,BRI,"4,756","381,000"
2017,Britannia,BRT,288,"1,475,000"
2017,Cambrian Heights,CAM,701,"540,000"
2017,Canyon Meadows,CAN,"3,136","418,000"
2017,Capitol Hill,CAP,"1,449","535,000"
2017,Castleridge,CAS,"1,657","317,000"
2017,Cedarbrae,CED,"2,344","358,000"
2017,Chaparral,CHA,"4,400","468,000"
2017,Charleswood,CHW,"1,321","546,000"
2017,Chinatown,CHN,"1,216","335,000"
2017,Chinook Park,CHK,525,"673,000"
2017,Christie Park,CHR,725,"647,000"
2017,Citadel,CIT,"3,619","431,000"
2017,Cityscape,CSC,806,"348,000"
2017,Cliff Bungalow,CLI,844,"296,000"
2017,Coach Hill,COA,"1,482","393,000"
2017,Collingwood,COL,839,"537,000"
2017,Copperfield,CPF,"5,483","373,000"
2017,Coral Springs,COR,"1,474","471,000"
2017,Cougar Ridge,CGR,"2,361","559,000"
2017,Country Hills,COU,"1,562","373,000"
2017,Country Hills Village,CHV,"2,231","260,000"
2017,Coventry Hills,COV,"5,510","394,000"
2017,Cranston,CRA,"7,127","450,000"
2017,Crescent Heights,CRE,"3,101","374,000"
2017,Crestmont,CRM,487,"607,000"
2017,Currie Barracks,CUR,887,"730,000"
2017,Dalhousie,DAL,"3,672","440,000"
2017,Deer Ridge,DRG,"1,383","347,000"
2017,Deer Run,DRN,"2,101","387,000"
2017,Diamond Cove,DIA,271,"521,000"
2017,Discovery Ridge,DIS,"2,278","663,000"
2017,Douglasdale/Glen,DDG,"5,122","460,000"
2017,Dover,DOV,"4,136","285,000"
2017,Downtown Commercial Core,DNC,"3,209","151,000"
2017,Downtown East Village,DNE,"1,863","333,000"
2017,Downtown West End,DNW,"2,362","339,000"
2017,Eagle Ridge,EAG,108,"1,470,000"
2017,Eau Claire,EAU,"2,805","469,000"
2017,Edgemont,EDG,"5,363","552,000"
2017,Elbow Park,EPK,"1,180","1,260,000"
2017,Elboya,EYA,690,"742,000"
2017,Erin Woods,ERI,"2,349","309,000"
2017,Erlton,ERL,"1,118","406,000"
2017,Evanston,EVN,"5,148","458,000"
2017,Evergreen,EVE,"7,968","460,000"
2017,Fairview,FAI,"1,254","395,000"
2017,Falconridge,FAL,"2,867","301,000"
2017,Forest Heights,FHT,"1,891","290,000"
2017,Forest Lawn,FLN,"1,952","308,000"
2017,Garrison Green,GAG,985,"569,000"
2017,Garrison Woods,GAW,"1,964","520,000"
2017,Glamorgan,GLA,"2,349","417,000"
2017,Glenbrook,GBK,"2,342","396,000"
2017,Glendale,GDL,980,"532,000"
2017,Greenview,GRV,749,"215,000"
2017,Greenwood/Greenbriar,GRE,501,"42,000"
2017,Hamptons,HAM,"2,475","649,000"
2017,Harvest Hills,HAR,"2,656","413,000"
2017,Hawkwood,HAW,"3,499","471,000"
2017,Haysboro,HAY,"3,339","392,000"
2017,Hidden Valley,HID,"3,849","412,000"
2017,Highland Park,HPK,"1,329","468,000"
2017,Highwood,HIW,808,"457,000"
2017,Hillhurst,HIL,"2,628","574,000"
2017,Hounsfield Heights/Briar Hill,HOU,"1,266","633,000"
2017,Huntington Hills,HUN,"4,561","379,000"
2017,Inglewood,ING,"2,340","409,000"
2017,Kelvin Grove,KEL,577,"739,000"
2017,Killarney/Glengarry,KIL,"3,197","538,000"
2017,Kincora,KCA,"2,402","497,000"
2017,Kingsland,KIN,"1,404","429,000"
2017,Lake Bonavista,LKB,"5,122","554,000"
2017,Lakeview,LKV,"1,989","546,000"
2017,Legacy,LEG,"1,840","390,000"
2017,Lincoln Park,LPK,"1,493","255,000"
2017,Lower Mount Royal,LMR,"1,751","298,000"
2017,MacEwan,MAC,"1,693","399,000"
2017,Mahogany,MAH,"3,202","502,000"
2017,Manchester,MAN,189,"161,000"
2017,Maple Ridge,MPL,806,"489,000"
2017,Marlborough,MRL,"2,571","343,000"
2017,Marlborough Park,MPK,"2,904","338,000"
2017,Martindale,MRT,"3,760","344,000"
2017,Mayfair,MAF,156,"1,050,000"
2017,Mayland Heights,MAL,"2,024","425,000"
2017,McKenzie Lake,MCK,"4,583","465,000"
2017,McKenzie Towne,MCT,"8,541","353,000"
2017,Meadowlark Park,MEA,277,"615,000"
2017,Midnapore,MID,"2,526","371,000"
2017,Millrise,MLR,"3,275","374,000"
2017,Mission,MIS,"2,977","307,000"
2017,Monterey Park,MOR,"3,224","378,000"
2017,Montgomery,MON,"1,721","433,000"
2017,Mount Pleasant,MOP,"2,289","571,000"
2017,New Brighton,NEB,"4,305","429,000"
2017,Nolan Hill,NOL,"1,888","469,000"
2017,North Glenmore Park,NGM,890,"594,000"
2017,North Haven,NHV,822,"463,000"
2017,North Haven Upper,NHU,245,"472,000"
2017,Oakridge,OAK,"2,256","483,000"
2017,Ogden,OGD,"2,883","331,000"
2017,Palliser,PAL,"1,408","467,000"
2017,Panorama Hills,PAN,"9,100","495,000"
2017,Parkdale,PKD,"1,115","605,000"
2017,Parkhill/Stanley Park,PKH,828,"619,000"
2017,Parkland,PKL,"1,545","543,000"
2017,Patterson,PAT,"2,074","389,000"
2017,Penbrooke Meadows,PEN,"2,851","300,000"
2017,Pineridge,PIN,"3,160","322,000"
2017,Point Mckay,POI,848,"412,000"
2017,Pump Hill,PUM,434,"866,000"
2017,Queensland,QLD,"1,824","356,000"
2017,Ramsay,RAM,815,"450,000"
2017,Ranchlands,RAN,"2,762","340,000"
2017,Red Carpet/Mountview Mobile Park,RED,"1,055","66,000"
2017,Redstone,RSN,"1,016","407,000"
2017,Renfrew,REN,"3,249","428,000"
2017,Richmond,RIC,"2,000","609,000"
2017,Rideau Park,RID,371,"385,000"
2017,Riverbend,RIV,"3,432","406,000"
2017,Rocky Ridge,ROC,"3,939","458,000"
2017,Rosedale,RDL,582,"898,000"
2017,Rosemont,RMT,437,"589,000"
2017,Rosscarrock,RCK,851,"497,000"
2017,Roxboro,ROX,153,"1,160,000"
2017,Royal Oak,ROY,"5,117","493,000"
2017,Rundle,RUN,"3,045","357,000"
2017,Rutland Park,RUT,451,"524,000"
2017,Saddle Ridge,SAD,"5,358","404,000"
2017,Sage Hill,SGH,"2,625","441,000"
2017,Sandstone Valley,SAN,"2,109","405,000"
2017,Scarboro,SCA,330,"888,000"
2017,Scarboro/Sunalta West,SSW,161,"761,000"
2017,Scenic Acres,SCE,"2,905","509,000"
2017,Shaganappi,SHG,746,"573,000"
2017,Shawnee Slopes,SHS,"1,029","503,000"
2017,Shawnessy,SHN,"3,604","392,000"
2017,Sherwood,SHW,"1,587","543,000"
2017,Signal Hill,SIG,"6,092","555,000"
2017,Silver Springs,SIL,"3,469","459,000"
2017,Silverado,SVO,"2,558","421,000"
2017,Skyview Ranch,SKR,"3,877","362,000"
2017,Somerset,SOM,"3,322","398,000"
2017,South Calgary,SOC,"2,316","500,000"
2017,Southview,SOV,609,"355,000"
2017,Southwood,SOW,"2,195","389,000"
2017,Springbank Hill,SPH,"3,779","672,000"
2017,Spruce Cliff,SPR,"2,856","383,000"
2017,St. Andrews Heights,STA,537,"689,000"
2017,Strathcona Park,STR,"2,376","595,000"
2017,Sunalta,SNA,"1,291","241,000"
2017,Sundance,SDC,"3,208","455,000"
2017,Sunnyside,SSD,"2,122","379,000"
2017,Taradale,TAR,"4,544","368,000"
2017,Temple,TEM,"3,404","342,000"
2017,Thorncliffe,THO,"2,913","385,000"
2017,Tuscany,TUS,"7,019","491,000"
2017,Tuxedo Park,TUX,"1,940","450,000"
2017,University Heights,UNI,507,"745,000"
2017,Upper Mount Royal,UMR,917,"1,540,000"
2017,Valley Ridge,VAL,"2,112","561,000"
2017,Varsity,VAR,"5,659","495,000"
2017,Vista Heights,VIS,637,"353,000"
2017,Walden,WAL,"1,481","431,000"
2017,West Hillhurst,WHL,"2,484","640,000"
2017,West Springs,WSP,"3,413","607,000"
2017,Westgate,WGT,"1,152","486,000"
2017,Whitehorn,WHI,"3,490","350,000"
2017,Wildwood,WLD,"1,036","616,000"
2017,Willow Park,WIL,"2,003","483,000"
2017,Windsor Park,WND,"1,770","239,000"
2017,Winston Heights/Mountview,WIN,"1,443","483,000"
2017,Woodbine,WBN,"3,336","435,000"
2017,Woodlands,WOO,"2,066","433,000"
