COMMUNITY_NAME,YEAR,COMM_CODE_x,WARD,DWELLING_TYPE,DWELLING_TYPE_CODE,DWELLING_TYPE_DESCRIPTION,DWELLINGS_TOTAL,RES_CNT,OCPD_DWELLING_CNT,DWELLINGS_VACANT,OCPD_OWNERSHIP_CNT,RENOVATION_DWELLING_CNT,UNDER_CONST_DWELLING_CNT,INACTIVE_CNT,OTHER_PURPOSE_CNT,COMM_CODE_y,CLASS,CLASS_CODE,SECTOR,SRG,COMM_STRUCTURE,WARD_NUM,AREA_TYPE,COMM_CODE,Number of taxable accounts,MEDIAN_ASSESSMENT,ASSESSMENT_PER_PERSON,VACANCY_RATE
ACADIA,2016,ACA,9.0,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,2282.0,5470.0,"2,222",32.0,"1,905",12.0,0,11.0,5.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,859",396000.0,72.39488117001828,0.014022787028921999
ACADIA,2016,ACA,9.0,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",132.0,276.0,121,10.0,77,0.0,0,1.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,859",396000.0,1434.7826086956522,0.07575757575757576
ACADIA,2016,ACA,9.0,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,2025.0,3496.0,"1,847",172.0,352,0.0,0,2.0,4.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,859",396000.0,113.27231121281464,0.08493827160493828
ACADIA,2016,ACA,9.0,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",384.0,970.0,375,5.0,254,4.0,0,0.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,859",396000.0,408.2474226804124,0.013020833333333334
ACADIA,2016,ACA,9.0,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,94.0,134.0,78,15.0,71,0.0,0,1.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,859",396000.0,2955.223880597015,0.1595744680851064
ACADIA,2016,ACA,9.0,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,108.0,164.0,94,4.0,18,0.0,0,10.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,859",396000.0,2414.6341463414633,0.037037037037037035
ACADIA,2016,ACA,9.0,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",3.0,19.0,3,0.0,0,0.0,0,0.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,859",396000.0,20842.105263157893,0.0
ACADIA,2016,ACA,9.0,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",1.0,237.0,1,0.0,0,0.0,0,0.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,859",396000.0,1670.886075949367,0.0
ACADIA,2016,ACA,9.0,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,2.0,0.0,1,1.0,0,0.0,0,0.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,859",396000.0,,0.5
ACADIA,2017,ACA,11.0,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,2282.0,5502.0,"2,226",30.0,"1,901",20.0,0,3.0,3.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,854",385000.0,69.97455470737914,0.013146362839614373
ACADIA,2017,ACA,11.0,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",132.0,299.0,129,2.0,79,1.0,0,0.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,854",385000.0,1287.6254180602007,0.015151515151515152
ACADIA,2017,ACA,11.0,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,2025.0,3409.0,"1,859",161.0,354,1.0,0,1.0,3.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,854",385000.0,112.93634496919918,0.07950617283950617
ACADIA,2017,ACA,11.0,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",384.0,943.0,366,16.0,249,2.0,0,0.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,854",385000.0,408.27147401908803,0.041666666666666664
ACADIA,2017,ACA,11.0,MANUFACTURED HOME,6,A structure originally built to be movable whether it is now movable or on a permanent foundation. Include summer travel trailers only if used as a permanent residence.,92.0,100.0,63,7.0,11,0.0,0,22.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,854",385000.0,3850.0,0.07608695652173914
ACADIA,2017,ACA,11.0,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,112.0,135.0,91,6.0,7,3.0,0,12.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,854",385000.0,2851.8518518518517,0.05357142857142857
ACADIA,2017,ACA,11.0,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",2.0,0.0,2,0.0,0,0.0,0,0.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,854",385000.0,,0.0
ACADIA,2017,ACA,11.0,"NURSING HOME, AUXILLARY HOSPITAL LODGE",11,"A structure originally designed and built to contain one or more dwelling units which is designated as a nursing home, auxiliary hospital, care centre, lodge, etec. There are many seniors' residences being constructed that have suites with a bathroom and kitchenette containing a sink, bar fridge, microwave, etc. The suite must contain a full size fridge and stove to be considered as a separate dwelling unit. Otherwise, all suites included at one address and are part of this definition for lodges, care centres, or assisted living.",1.0,252.0,1,0.0,0,0.0,0,0.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,854",385000.0,1527.7777777777778,0.0
ACADIA,2017,ACA,11.0,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,3.0,16.0,1,2.0,0,0.0,0,0.0,0.0,ACA,Residential,1.0,SOUTH,ESTABLISHED,1960s/1970s,11.0,Inner-City,ACA,"3,854",385000.0,24062.5,0.6666666666666666
ALBERT PARK/RADISSON HEIGHTS,2016,ALB,10.0,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,921.0,2248.0,865,47.0,595,5.0,3,0.0,1.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,,,0.0,0.0,0.051031487513572206
ALBERT PARK/RADISSON HEIGHTS,2016,ALB,10.0,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",459.0,1208.0,425,27.0,146,2.0,4,1.0,0.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,,,0.0,0.0,0.058823529411764705
ALBERT PARK/RADISSON HEIGHTS,2016,ALB,10.0,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,26.0,60.0,24,1.0,8,1.0,0,0.0,0.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,,,0.0,0.0,0.038461538461538464
ALBERT PARK/RADISSON HEIGHTS,2016,ALB,10.0,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,772.0,1386.0,717,50.0,151,4.0,1,0.0,0.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,,,0.0,0.0,0.06476683937823834
ALBERT PARK/RADISSON HEIGHTS,2016,ALB,10.0,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",343.0,1066.0,321,17.0,10,1.0,1,0.0,3.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,,,0.0,0.0,0.04956268221574344
ALBERT PARK/RADISSON HEIGHTS,2016,ALB,10.0,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,472.0,697.0,366,87.0,18,4.0,2,13.0,0.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,,,0.0,0.0,0.1843220338983051
ALBERT PARK/RADISSON HEIGHTS,2016,ALB,10.0,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",1.0,8.0,1,0.0,0,0.0,0,0.0,0.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,,,0.0,0.0,0.0
ALBERT PARK/RADISSON HEIGHTS,2017,ALB,9.0,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,916.0,2354.0,882,32.0,593,1.0,0,1.0,0.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,ALB,"1,918",318000.0,135.089209855565,0.034934497816593885
ALBERT PARK/RADISSON HEIGHTS,2017,ALB,9.0,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",464.0,1229.0,419,38.0,144,1.0,4,1.0,1.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,ALB,"1,918",318000.0,258.746948738812,0.08189655172413793
ALBERT PARK/RADISSON HEIGHTS,2017,ALB,9.0,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,26.0,54.0,20,6.0,8,0.0,0,0.0,0.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,ALB,"1,918",318000.0,5888.888888888889,0.23076923076923078
ALBERT PARK/RADISSON HEIGHTS,2017,ALB,9.0,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,795.0,1342.0,705,64.0,160,3.0,23,0.0,0.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,ALB,"1,918",318000.0,236.95976154992547,0.08050314465408805
ALBERT PARK/RADISSON HEIGHTS,2017,ALB,9.0,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",344.0,1077.0,318,21.0,11,2.0,0,0.0,3.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,ALB,"1,918",318000.0,295.2646239554318,0.061046511627906974
ALBERT PARK/RADISSON HEIGHTS,2017,ALB,9.0,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,468.0,679.0,357,87.0,14,6.0,0,18.0,0.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,ALB,"1,918",318000.0,468.3357879234168,0.1858974358974359
ALBERT PARK/RADISSON HEIGHTS,2017,ALB,9.0,COMMUNAL HOUSING,8,"A structure that ontains one dwelling unit, which accommodates multiple individuals who have separate sleeping facilities but share common cooking and/or bathroom facilities.",1.0,9.0,1,0.0,0,0.0,0,0.0,0.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,ALB,"1,918",318000.0,35333.333333333336,0.0
ALBERT PARK/RADISSON HEIGHTS,2017,ALB,9.0,OTHER - RESIDENTIAL,10,"Any residential structure that contains a dwelling unit which does not fit the other structure codes, e.g. shack, garage.",1.0,0.0,1,0.0,0,0.0,0,0.0,0.0,ALB,Residential,1.0,EAST,ESTABLISHED,1950s,9.0,Inner-City,ALB,"1,918",318000.0,,0.0
ALTADORE,2016,ALT,11.0,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,1388.0,3474.0,"1,279",67.0,"1,032",10.0,29,1.0,2.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,823",776000.0,223.37363270005758,0.048270893371757925
ALTADORE,2016,ALT,11.0,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",561.0,1401.0,507,30.0,403,1.0,22,1.0,0.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,823",776000.0,553.8900785153462,0.053475935828877004
ALTADORE,2016,ALT,11.0,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,24.0,31.0,18,1.0,0,0.0,4,0.0,1.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,823",776000.0,25032.25806451613,0.041666666666666664
ALTADORE,2016,ALT,11.0,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,533.0,715.0,486,41.0,160,2.0,0,0.0,4.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,823",776000.0,1085.3146853146852,0.07692307692307693
ALTADORE,2016,ALT,11.0,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",439.0,796.0,404,29.0,278,0.0,6,0.0,0.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,823",776000.0,974.8743718592965,0.06605922551252848
ALTADORE,2016,ALT,11.0,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,178.0,224.0,136,28.0,6,1.0,0,12.0,1.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,823",776000.0,3464.285714285714,0.15730337078651685
ALTADORE,2016,ALT,11.0,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,20.0,19.0,16,4.0,0,0.0,0,0.0,0.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,823",776000.0,40842.10526315789,0.2
ALTADORE,2016,ALT,11.0,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,2.0,16.0,2,0.0,0,0.0,0,0.0,0.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,823",776000.0,48500.0,0.0
ALTADORE,2017,ALT,8.0,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,1379.0,3567.0,"1,280",68.0,"1,060",7.0,19,0.0,5.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,855",738000.0,206.89655172413794,0.049311094996374184
ALTADORE,2017,ALT,8.0,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",593.0,1476.0,548,23.0,439,1.0,20,0.0,1.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,855",738000.0,500.0,0.0387858347386172
ALTADORE,2017,ALT,8.0,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,24.0,42.0,22,1.0,6,0.0,0,0.0,1.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,855",738000.0,17571.428571428572,0.041666666666666664
ALTADORE,2017,ALT,8.0,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,528.0,681.0,480,42.0,153,1.0,0,0.0,5.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,855",738000.0,1083.7004405286343,0.07954545454545454
ALTADORE,2017,ALT,8.0,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",438.0,827.0,410,23.0,284,1.0,4,0.0,0.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,855",738000.0,892.3821039903265,0.05251141552511415
ALTADORE,2017,ALT,8.0,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,174.0,163.0,113,45.0,0,2.0,0,13.0,1.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,855",738000.0,4527.60736196319,0.25862068965517243
ALTADORE,2017,ALT,8.0,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,20.0,17.0,16,2.0,0,0.0,0,1.0,1.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,855",738000.0,43411.76470588235,0.1
ALTADORE,2017,ALT,8.0,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,2.0,22.0,2,0.0,0,0.0,0,0.0,0.0,ALT,Residential,1.0,CENTRE,ESTABLISHED,INNER CITY,8.0,Inner-City,ALT,"2,855",738000.0,33545.454545454544,0.0
ALYTH/BONNYBROOK,2016,AYB,9.0,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,10.0,0.0,3,1.0,0,0.0,0,0.0,6.0,AYB,Industrial,2.0,CENTRE,,EMPLOYMENT,9.0,Suburban,,,0.0,,0.1
ALYTH/BONNYBROOK,2016,AYB,9.0,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,2.0,0.0,1,0.0,0,0.0,0,0.0,1.0,AYB,Industrial,2.0,CENTRE,,EMPLOYMENT,9.0,Suburban,,,0.0,,0.0
ALYTH/BONNYBROOK,2016,AYB,9.0,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,1.0,0.0,0,0.0,0,0.0,0,1.0,0.0,AYB,Industrial,2.0,CENTRE,,EMPLOYMENT,9.0,Suburban,,,0.0,,0.0
ALYTH/BONNYBROOK,2017,AYB,9.0,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,10.0,0.0,3,1.0,0,0.0,0,0.0,6.0,AYB,Industrial,2.0,CENTRE,,EMPLOYMENT,9.0,Suburban,AYB,3,104000.0,,0.1
ALYTH/BONNYBROOK,2017,AYB,9.0,RESIDENCE IN COMMERCIAL STRUCTURE,9,A structure that is primarily commercial but which also contains one or two dwelling units.,2.0,0.0,0,1.0,0,0.0,0,0.0,1.0,AYB,Industrial,2.0,CENTRE,,EMPLOYMENT,9.0,Suburban,AYB,3,104000.0,,0.5
ALYTH/BONNYBROOK,2017,AYB,9.0,"HOTELS, MOTELS  RESIDENCE",13,A structure that provides lodging.,1.0,0.0,1,0.0,0,0.0,0,0.0,0.0,AYB,Industrial,2.0,CENTRE,,EMPLOYMENT,9.0,Suburban,AYB,3,104000.0,,0.0
APPLEWOOD PARK,2016,APP,10.0,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,1367.0,5068.0,"1,347",12.0,"1,153",5.0,0,3.0,0.0,APP,Residential,1.0,EAST,ESTABLISHED,2000s,9.0,Suburban,APP,"1,795",369000.0,72.80978689818468,0.008778346744696415
APPLEWOOD PARK,2016,APP,10.0,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",20.0,74.0,20,0.0,17,0.0,0,0.0,0.0,APP,Residential,1.0,EAST,ESTABLISHED,2000s,9.0,Suburban,APP,"1,795",369000.0,4986.486486486487,0.0
APPLEWOOD PARK,2016,APP,10.0,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,713.0,996.0,562,151.0,147,0.0,0,0.0,0.0,APP,Residential,1.0,EAST,ESTABLISHED,2000s,9.0,Suburban,APP,"1,795",369000.0,370.48192771084337,0.211781206171108
APPLEWOOD PARK,2016,APP,10.0,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",132.0,452.0,122,9.0,45,0.0,0,1.0,0.0,APP,Residential,1.0,EAST,ESTABLISHED,2000s,9.0,Suburban,APP,"1,795",369000.0,816.3716814159292,0.06818181818181818
APPLEWOOD PARK,2016,APP,10.0,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,91.0,174.0,69,10.0,13,1.0,0,11.0,0.0,APP,Residential,1.0,EAST,ESTABLISHED,2000s,9.0,Suburban,APP,"1,795",369000.0,2120.689655172414,0.10989010989010989
APPLEWOOD PARK,2017,APP,9.0,SINGLE FAMILY HOME,1,A structure originally designed and built to contain a single dwelling unit.,1366.0,5105.0,"1,356",7.0,"1,131",2.0,0,1.0,0.0,APP,Residential,1.0,EAST,ESTABLISHED,2000s,9.0,Suburban,APP,"1,795",362000.0,70.91087169441724,0.005124450951683748
APPLEWOOD PARK,2017,APP,9.0,DUPLEX,2,"A structure originally designed and built to contain two dwelling units, either side-by-side, front-to-back or one above the other.",21.0,78.0,21,0.0,17,0.0,0,0.0,0.0,APP,Residential,1.0,EAST,ESTABLISHED,2000s,9.0,Suburban,APP,"1,795",362000.0,4641.025641025641,0.0
APPLEWOOD PARK,2017,APP,9.0,MULTI-PLEX,3,A structure originally designed and built to contain at least three dwelling units on one or two levels. The dwelling units share outside entrances.,1.0,0.0,1,0.0,0,0.0,0,0.0,0.0,APP,Residential,1.0,EAST,ESTABLISHED,2000s,9.0,Suburban,APP,"1,795",362000.0,,0.0
APPLEWOOD PARK,2017,APP,9.0,APARTMENT,4,A structure originally designed and built to contain at least three dwelling units on three or more levels. The dwelling units share outside entrances.,801.0,1132.0,661,140.0,141,0.0,0,0.0,0.0,APP,Residential,1.0,EAST,ESTABLISHED,2000s,9.0,Suburban,APP,"1,795",362000.0,319.7879858657244,0.17478152309612985
APPLEWOOD PARK,2017,APP,9.0,TOWN HOUSE,5,"A structure originally designed and built to contain three or more attached, or semi-attached dwelling units, each of which has a separate outside entrance.",132.0,454.0,123,9.0,43,0.0,0,0.0,0.0,APP,Residential,1.0,EAST,ESTABLISHED,2000s,9.0,Suburban,APP,"1,795",362000.0,797.3568281938326,0.06818181818181818
APPLEWOOD PARK,2017,APP,9.0,CONVERTED STRUCTURE,7,The additional dwelling units in a structure that contains more units than the building was originally designed and built to contain.,96.0,151.0,63,20.0,9,0.0,0,13.0,0.0,APP,Residential,1.0,EAST,ESTABLISHED,2000s,9.0,Suburban,APP,"1,795",362000.0,2397.3509933774835,0.20833333333333334
